,palmOil,controversialWeapons,gambling,socialScore,nuclear,furLeather,alcoholic,gmo,catholic,socialPercentile,peerCount,governanceScore,environmentPercentile,animalTesting,tobacco,totalEsg,highestControversy,esgPerformance,coal,pesticides,adult,percentile,peerGroup,smallArms,environmentScore,governancePercentile,militaryContract,company_ticker
Value,False,False,False,12.98,False,False,False,False,False,0,92,6.76,0,True,True,24.4,2,,False,False,False,38.57,Food Products,False,4.66,0,False,MO
Value,False,False,False,4.52,False,False,False,False,False,0,29,5.1,0,False,False,14.74,1,LAG_PERF,False,False,False,8.56,Semiconductors,False,5.11,0,False,LRCX
Value,False,False,False,15.71,False,False,False,False,True,,55,9.47,,True,False,29.01,3,AVG_PERF,False,False,False,56.01,Healthcare,False,3.83,,False,BDX
Value,False,False,False,7.18,False,False,False,False,False,0,99,5.44,0,False,False,13.68,1,LAG_PERF,False,False,False,6.48,Software & Services,False,1.07,0,False,ADP
Value,False,False,False,8.99,False,False,False,False,False,0,41,3.62,0,False,False,18.37,3,LAG_PERF,False,False,False,18,Transportation,False,5.75,0,False,CSX
Value,False,False,False,6.21,False,False,False,False,False,0,85,6.21,0,False,False,14.55,1,LAG_PERF,False,False,False,8.17,Diversified Financials,False,2.13,0,False,CME
Value,False,False,False,3.38,False,False,False,False,False,0,105,4.23,0,False,False,10.05,1,LAG_PERF,False,False,False,1.9300000000000002,Real Estate,False,2.44,0,False,PLD
Value,False,False,False,11.23,False,False,False,False,False,0,91,11.01,0,False,False,23.86,2,,False,False,False,36.41,Insurance,False,1.62,0,False,CB
Value,False,False,False,8.81,False,False,False,False,False,0,27,5.3,0,True,False,20.75,3,,False,False,False,25.36,Household Products,False,6.64,0,False,CL
Value,False,False,False,9.22,False,False,False,False,False,0,99,4.87,0,False,False,15.45,0,LAG_PERF,False,False,False,10.03,Software & Services,False,1.37,0,False,ADSK
Value,False,False,False,9.84,False,False,False,False,False,0,103,6.15,0,False,False,16.15,2,LAG_PERF,False,False,False,10.62,Software & Services,False,0.15,0,False,ATVI
Value,False,False,False,15.85,False,False,False,False,False,0,165,12.44,0,False,False,30,3,LEAD_PERF,False,False,False,59.64,Banks,False,1.71,0,False,USB
Value,False,False,False,12.39,False,False,False,False,False,0,165,8.3,0,False,False,22.46,3,,False,False,False,31.34,Banks,False,1.77,0,False,PNC
Value,False,False,False,8.49,True,False,False,False,False,0,103,4.94,0,False,False,28.5,3,,True,False,False,54,Utilities,False,15.06,0,False,DUK
Value,False,False,False,10.73,False,False,False,False,False,0,99,6.41,0,False,False,18.34,2,LAG_PERF,False,False,False,17.87,Software & Services,False,1.19,0,False,FISV
Value,False,False,False,2.92,False,False,False,False,False,0,108,5.09,0,False,False,13.22,0,LAG_PERF,False,False,False,4.84,Real Estate,False,5.21,0,False,CCI
Value,False,False,False,6.76,False,False,False,False,False,0,94,7.42,0,False,False,15.71,3,LAG_PERF,False,False,False,9.72,Diversified Financials,False,1.53,0,False,ICE
Value,False,False,False,10.95,True,False,False,False,False,0,103,6.89,0,False,False,33.51,2,LEAD_PERF,True,False,False,71.45,Utilities,False,15.68,0,False,SO
Value,False,False,False,12.37,False,False,False,False,False,0,41,3.44,0,False,False,24.42,2,,False,False,False,38.61,Transportation,False,8.61,0,False,NSC
Value,False,False,False,1.43,False,False,False,False,False,0,78,3.65,0,False,False,11.18,1,LAG_PERF,False,False,False,2.44,Chemicals,False,6.09,0,False,APD
Value,False,False,False,10.98,False,False,False,False,False,0,99,7.05,0,False,False,19.29,2,LAG_PERF,False,False,False,20.67,Software & Services,False,1.25,0,False,GPN
Value,False,False,False,17.22,False,False,False,False,True,0,83,7.68,0,True,False,25.05,2,,False,False,False,41.01,Pharmaceuticals,False,0.15,0,False,VRTX
Value,False,False,False,5.67,False,False,False,False,False,0,105,5.7,0,False,False,14.62,1,LAG_PERF,False,False,False,8.35,Real Estate,False,3.25,0,False,EQIX
